accession,sample_name,read_count,location,site,field_campaign,conductivity,pH,alkalinity,hardness,sodium,magnesium,calcium,potassium,chloride,nitrate,sulfate,ammonium,phosphate,total_phosphorus,silicic_acid,total_inorganic_carbon,3.1.6.1,rate_constants
SAMN37257400,air_dw3_2,115546653,Air,dw,1,737.0,8.12,1.475,4.345,4.957,21.327,133.613,3.128,7.54,0.46,351.3,13.7,3.0,10.7,7.202,17.7,71.2,0.004048698018549
SAMN37257404,oli_up1_1,104704761,Oli,up,1,1014.5,8.07,2.297,6.374,2.353,22.509,219.616,3.955,3.005,0.542,533.1,7.6,4.0,4.1,8.982,27.564,1.94,0.0012404917765363
SAMN37257405,oli_up1_2,109770253,Oli,up,1,1014.5,8.07,2.297,6.374,2.353,22.509,219.616,3.955,3.005,0.542,533.1,7.6,4.0,4.1,8.982,27.564,16.19,0.0034803264576359
SAMN37257406,oli_up2_1,107487090,Oli,up,1,1067.1,8.11,2.342,6.872,2.607,25.669,226.644,3.824,3.526,0.528,560.4,18.7,3.0,3.4,9.19,28.104,9.49,0.0034891275612998
SAMN37257407,oli_up2_2,103279387,Oli,up,1,1067.1,8.11,2.342,6.872,2.607,25.669,226.644,3.824,3.526,0.528,560.4,18.7,3.0,3.4,9.19,28.104,14.6,0.0021572494532328
SAMN37257408,oli_dw1_1,118826268,Oli,dw,1,900.5,8.19,2.457,5.654,2.062,25.269,182.915,2.577,2.575,0.553,447.6,9.9,3.75,6.9,8.713,29.484,4.49,0.0127029870206613
SAMN37257409,oli_dw1_2,87916228,Oli,dw,1,900.5,8.19,2.457,5.654,2.062,25.269,182.915,2.577,2.575,0.553,447.6,9.9,3.75,6.9,8.713,29.484,8.64,0.0083614389354031
SAMN37257410,air_up1_1,109288970,Air,up,1,344.5,7.94,1.182,1.843,1.505,8.555,57.382,2.118,1.249,0.247,126.7,11.2,1.75,5.6,6.734,14.184,27.77,0.0022018290135423
SAMN37257411,oli_dw2_1,115461619,Oli,dw,1,870.0,8.17,2.433,5.444,2.243,25.038,175.052,2.955,2.906,0.625,427.4,3.8,3.125,4.3,8.314,29.196,3.01,0.0016727151588515
SAMN37257412,oli_dw2_2,103236623,Oli,dw,1,870.0,8.17,2.433,5.444,2.243,25.038,175.052,2.955,2.906,0.625,427.4,3.8,3.125,4.3,8.314,29.196,2.2,0.0019927793635581
SAMN37257413,oli_dw3_1,114253449,Oli,dw,1,824.0,8.25,2.383,5.058,2.337,23.51,164.419,3.344,3.026,0.593,373.1,15.2,3.875,6.6,9.398,28.596,3.27,0.0010975053714356
SAMN37257414,oli_dw3_2,86775621,Oli,dw,1,824.0,8.25,2.383,5.058,2.337,23.51,164.419,3.344,3.026,0.593,373.1,15.2,3.875,6.6,9.398,28.596,4.34,0.001837553384564
SAMN37257418,kol_up1_1,136116313,Kol,up,2,435.6,8.43,4.817,2.592,5.431,16.265,74.862,1.224,7.623,2.013,12.119,11.6,26.5,40.9,18.281,57.804,1.72,0.0016095912719016
SAMN37257419,kol_up1_2,123524453,Kol,up,2,435.6,8.43,4.817,2.592,5.431,16.265,74.862,1.224,7.623,2.013,12.119,11.6,26.5,40.9,18.281,57.804,2.17,0.0039058701905932
