accession,sample_name,read_count,location,site,field_campaign,conductivity,pH,alkalinity,hardness,sodium,magnesium,calcium,potassium,chloride,nitrate,sulfate,ammonium,phosphate,total_phosphorus,silicic_acid,total_inorganic_carbon,1.14.12.7,1.14.12.17,"1.14.12.1,1.14.13.172","1.14.12.1,1.14.12.15,1.14.13.172",1.14.12.10,"1.14.12.7,1.14.13.82","1.14.12.1,1.14.12.15",rate_constants
SAMN37257400,air_dw3_2,115546653,Air,dw,1,737.0,8.12,1.475,4.345,4.957,21.327,133.613,3.128,7.54,0.46,351.3,13.7,3.0,10.7,7.202,17.7,33.870000000000005,17.54,66.97,7.44,13.57,16.31,0.0,0.0041911580607539
SAMN37257404,oli_up1_1,104704761,Oli,up,1,1014.5,8.07,2.297,6.374,2.353,22.509,219.616,3.955,3.005,0.542,533.1,7.6,4.0,4.1,8.982,27.564,2.09,0.19,5.5600000000000005,0.1,1.14,10.16,0.0,0.0037510758906709
SAMN37257405,oli_up1_2,109770253,Oli,up,1,1014.5,8.07,2.297,6.374,2.353,22.509,219.616,3.955,3.005,0.542,533.1,7.6,4.0,4.1,8.982,27.564,7.859999999999999,0.16,9.17,0.06,3.37,59.62,0.0,0.0029394245590779
SAMN37257406,oli_up2_1,107487090,Oli,up,1,1067.1,8.11,2.342,6.872,2.607,25.669,226.644,3.824,3.526,0.528,560.4,18.7,3.0,3.4,9.19,28.104,5.39,0.25,12.91,0.15,5.75,31.82,0.0,0.004082045194348
SAMN37257407,oli_up2_2,103279387,Oli,up,1,1067.1,8.11,2.342,6.872,2.607,25.669,226.644,3.824,3.526,0.528,560.4,18.7,3.0,3.4,9.19,28.104,7.25,0.17,12.26,0.41,7.29,29.37,0.0,0.0016197627255917
SAMN37257408,oli_dw1_1,118826268,Oli,dw,1,900.5,8.19,2.457,5.654,2.062,25.269,182.915,2.577,2.575,0.553,447.6,9.9,3.75,6.9,8.713,29.484,2.1399999999999997,0.26,7.470000000000001,0.14,2.56,1.5000000000000002,0.0,0.0196334818902945
SAMN37257409,oli_dw1_2,87916228,Oli,dw,1,900.5,8.19,2.457,5.654,2.062,25.269,182.915,2.577,2.575,0.553,447.6,9.9,3.75,6.9,8.713,29.484,4.5,0.35000000000000003,8.030000000000001,0.25,6.3,27.8,0.0,0.0094539153281833
SAMN37257410,air_up1_1,109288970,Air,up,1,344.5,7.94,1.182,1.843,1.505,8.555,57.382,2.118,1.249,0.247,126.7,11.2,1.75,5.6,6.734,14.184,34.92,4.6899999999999995,26.69,3.22,7.469999999999999,73.0,0.0,0.0029448307862587
SAMN37257411,oli_dw2_1,115461619,Oli,dw,1,870.0,8.17,2.433,5.444,2.243,25.038,175.052,2.955,2.906,0.625,427.4,3.8,3.125,4.3,8.314,29.196,1.5,0.28,4.359999999999999,0.22,1.24,0.33,0.0,0.0052736903218296
SAMN37257412,oli_dw2_2,103236623,Oli,dw,1,870.0,8.17,2.433,5.444,2.243,25.038,175.052,2.955,2.906,0.625,427.4,3.8,3.125,4.3,8.314,29.196,2.3000000000000003,0.3,6.48,0.09,1.41,1.15,0.0,0.003380464828266
SAMN37257413,oli_dw3_1,114253449,Oli,dw,1,824.0,8.25,2.383,5.058,2.337,23.51,164.419,3.344,3.026,0.593,373.1,15.2,3.875,6.6,9.398,28.596,3.0200000000000005,0.12,6.31,1.29,0.46,1.38,0.0,0.0036455458069312
