EC	length	POLT23-1_SAMN37257453_METAG.genecount.profile	POLT23-1_SAMN37257441_METAG.genecount.profile	POLT23-1_SAMN37257459_METAG.genecount.profile	POLT23-1_SAMN37257401_METAG.genecount.profile	POLT23-1_SAMN37257462_METAG.genecount.profile	POLT23-1_SAMN37257422_METAG.genecount.profile	POLT23-1_SAMN37257491_METAG.genecount.profile	POLT23-1_SAMN37257403_METAG.genecount.profile	POLT23-1_SAMN37257418_METAG.genecount.profile	POLT23-1_SAMN37257425_METAG.genecount.profile	POLT23-1_SAMN37257440_METAG.genecount.profile	POLT23-1_SAMN37257430_METAG.genecount.profile	POLT23-1_SAMN37257481_METAG.genecount.profile	POLT23-1_SAMN37257451_METAG.genecount.profile	POLT23-1_SAMN37257429_METAG.genecount.profile	POLT23-1_SAMN37257419_METAG.genecount.profile	POLT23-1_SAMN37257447_METAG.genecount.profile	POLT23-1_SAMN37257465_METAG.genecount.profile	POLT23-1_SAMN37257457_METAG.genecount.profile	POLT23-1_SAMN37257445_METAG.genecount.profile	POLT23-1_SAMN37257464_METAG.genecount.profile	POLT23-1_SAMN37257435_METAG.genecount.profile	POLT23-1_SAMN37257468_METAG.genecount.profile	POLT23-1_SAMN37257408_METAG.genecount.profile	POLT23-1_SAMN37257400_METAG.genecount.profile	POLT23-1_SAMN37257437_METAG.genecount.profile	POLT23-1_SAMN37257434_METAG.genecount.profile	POLT23-1_SAMN37257485_METAG.genecount.profile	POLT23-1_SAMN37257446_METAG.genecount.profile	POLT23-1_SAMN37257411_METAG.genecount.profile	POLT23-1_SAMN37257449_METAG.genecount.profile	POLT23-1_SAMN37257436_METAG.genecount.profile	POLT23-1_SAMN37257456_METAG.genecount.profile	POLT23-1_SAMN37257486_METAG.genecount.profile	POLT23-1_SAMN37257413_METAG.genecount.profile	POLT23-1_SAMN37257467_METAG.genecount.profile	POLT23-1_SAMN37257488_METAG.genecount.profile	POLT23-1_SAMN37257489_METAG.genecount.profile	POLT23-1_SAMN37257448_METAG.genecount.profile	POLT23-1_SAMN37257450_METAG.genecount.profile	POLT23-1_SAMN37257420_METAG.genecount.profile	POLT23-1_SAMN37257405_METAG.genecount.profile	POLT23-1_SAMN37257417_METAG.genecount.profile	POLT23-1_SAMN37257484_METAG.genecount.profile	POLT23-1_SAMN37257461_METAG.genecount.profile	POLT23-1_SAMN37257406_METAG.genecount.profile	POLT23-1_SAMN37257460_METAG.genecount.profile	POLT23-1_SAMN37257472_METAG.genecount.profile	POLT23-1_SAMN37257455_METAG.genecount.profile	POLT23-1_SAMN37257410_METAG.genecount.profile	POLT23-1_SAMN37257492_METAG.genecount.profile	POLT23-1_SAMN37257433_METAG.genecount.profile	POLT23-1_SAMN37257438_METAG.genecount.profile	POLT23-1_SAMN37257443_METAG.genecount.profile	POLT23-1_SAMN37257415_METAG.genecount.profile	POLT23-1_SAMN37257482_METAG.genecount.profile	POLT23-1_SAMN37257470_METAG.genecount.profile	POLT23-1_SAMN37257452_METAG.genecount.profile	POLT23-1_SAMN37257404_METAG.genecount.profile	POLT23-1_SAMN37257407_METAG.genecount.profile	POLT23-1_SAMN37257471_METAG.genecount.profile	POLT23-1_SAMN37257476_METAG.genecount.profile	POLT23-1_SAMN37257493_METAG.genecount.profile	POLT23-1_SAMN37257412_METAG.genecount.profile	POLT23-1_SAMN37257475_METAG.genecount.profile	POLT23-1_SAMN37257444_METAG.genecount.profile	POLT23-1_SAMN37257463_METAG.genecount.profile	POLT23-1_SAMN37257490_METAG.genecount.profile	POLT23-1_SAMN37257428_METAG.genecount.profile	POLT23-1_SAMN37257427_METAG.genecount.profile	POLT23-1_SAMN37257439_METAG.genecount.profile	POLT23-1_SAMN37257487_METAG.genecount.profile	POLT23-1_SAMN37257442_METAG.genecount.profile	POLT23-1_SAMN37257454_METAG.genecount.profile	POLT23-1_SAMN37257426_METAG.genecount.profile	POLT23-1_SAMN37257421_METAG.genecount.profile	POLT23-1_SAMN37257402_METAG.genecount.profile	POLT23-1_SAMN37257469_METAG.genecount.profile	POLT23-1_SAMN37257431_METAG.genecount.profile	POLT23-1_SAMN37257466_METAG.genecount.profile	POLT23-1_SAMN37257478_METAG.genecount.profile	POLT23-1_SAMN37257473_METAG.genecount.profile	POLT23-1_SAMN37257409_METAG.genecount.profile	POLT23-1_SAMN37257483_METAG.genecount.profile	POLT23-1_SAMN37257479_METAG.genecount.profile	POLT23-1_SAMN37257414_METAG.genecount.profile	POLT23-1_SAMN37257432_METAG.genecount.profile	POLT23-1_SAMN37257416_METAG.genecount.profile	POLT23-1_SAMN37257423_METAG.genecount.profile	POLT23-1_SAMN37257424_METAG.genecount.profile	POLT23-1_SAMN37257458_METAG.genecount.profile	POLT23-1_SAMN37257474_METAG.genecount.profile	POLT23-1_SAMN37257480_METAG.genecount.profile	POLT23-1_SAMN37257477_METAG.genecount.profile
1.1.1.1	6977298	1517.62	1663.56	1129.63	1069.36	1230.31	1760.92	1541.29	2158.86	1645.74	1803.46	1723.47	1258.13	1113.56	1487.5900000000001	1348.67	1628.44	1513.93	1022.89	1625.6299999999999	1415.03	1147.01	1921.6200000000001	1395.34	1095.35	674.01	1701.7	2018.42	1443.7	1098.1100000000001	1152.6	1478.55	1731.52	1655.87	1419.79	1053.78	1395.78	1590.22	1678.1299999999999	1478.32	1493.1100000000001	1707.55	958.55	1907.77	1371.09	1139.43	889.54	900.1899999999999	1562.44	1588.05	865.0699999999999	1382.39	1913.0	1780.17	848.89	883.33	1144.78	1472.22	1374.35	1201.68	839.3	1412.1399999999999	1230.18	602.75	1033.83	1532.23	1109.59	1108.59	1395.04	1629.88	1532.58	1749.14	672.67	1524.52	905.08	1776.4	795.52	906.8	1415.74	833.6600000000001	1505.27	1191.82	1552.32	956.67	1118.93	859.72	991.47	881.88	1378.65	1375.27	1620.78	1378.31	1500.61	971.72	1171.94
1.1.1.1,1.1.1.14	154668	27.73	20.53	38.47	17.99	49.83	40.54	13.6	20.21	27.35	33.42	22.96	14.15	40.84	31.12	64.62	27.57	31.24	17.94	15.5	12.1	38.16	46.01	12.63	3.0	5.0600000000000005	29.85	29.68	13.860000000000001	44.11	5.88	18.41	30.5	23.44	16.28	2.12	15.55	12.89	17.74	28.88	20.36	38.4	1.77	50.06	13.46	42.78	2.6999999999999997	18.97	25.84	13.41	28.55	17.04	35.24	35.5	4.49	24.41	42.120000000000005	14.46	28.240000000000002	0.62	2.86	13.66	36.61	2.15	1.8	36.01	44.5	40.12	12.46	31.09	24.28	25.03	3.6100000000000003	12.209999999999999	9.12	47.89	34.019999999999996	11.61	13.33	58.09	18.71	43.28	26.05	1.9300000000000002	42.43	22.24	2.0500000000000003	2.98	9.12	20.77	22.96	126.44	32.29	31.0	130.93
1.1.1.1,1.1.1.14,1.1.1.284	2082	0.19	0.0	0.0	0.0	0.05	0.05	0.04	0.0	0.0	0.0	0.0	1.28	0.05	0.0	0.0	0.0	0.07	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.38	0.0	0.0	0.0	0.06	0.0	0.0	0.31	0.0	0.0	3.31	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.08	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.07	3.38	0.0	0.0	0.4	0.0	0.0	0.0	0.13	0.0	0.0
1.1.1.1,1.1.1.14,1.6.5.5	3018	0.0	0.0	0.12	0.05	0.51	0.0	0.08	0.03	0.0	0.05	0.0	0.5700000000000001	0.5	0.0	0.51	0.0	0.0	0.0	0.0	0.21000000000000002	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.16999999999999998	0.1	0.08	0.0	0.0	0.0	0.13	0.0	0.0	0.05	0.33999999999999997	0.0	0.0	0.0	0.0	0.06	0.39	0.28	0.0	0.39	0.0	0.0	0.0	0.44	0.0	0.13	0.0	0.06	0.18	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.09	0.0	0.14	1.61	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14	0.0	0.21000000000000002	0.0	0.0	0.1	0.25	0.0	0.16	0.07	0.0	0.0	7.37	0.0	0.09	8.44
1.1.1.1,1.1.1.140,4.1.2.19	193239	11.48	15.09	6.46	31.810000000000002	10.86	56.75	8.299999999999999	225.39	38.33	32.2	10.11	26.24	17.009999999999998	16.46	75.26	39.61	15.22	34.51	9.92	21.7	6.5	19.92	4.82	2.16	4.51	17.07	18.55	17.830000000000002	26.759999999999998	2.47	15.57	13.77	22.13	22.770000000000003	1.55	5.45	17.46	8.86	12.129999999999999	15.36	48.72	1.03	43.040000000000006	16.59	14.43	2.2600000000000002	28.76	10.17	10.14	23.43	7.0	20.44	18.43	12.27	18.99	18.76	6.57	16.830000000000002	4.84	1.77	4.2	39.3	1.67	1.6099999999999999	22.3	21.05	5.63	16.14	17.77	13.1	10.27	3.73	9.38	18.15	37.09	16.22	15.08	5.55	21.1	7.659999999999999	15.21	14.040000000000001	0.72	18.86	20.95	2.2600000000000002	5.56	47.279999999999994	13.73	14.94	4.1899999999999995	28.1	29.279999999999998	3.88
1.1.1.1,1.1.1.2	8511	0.33	5.279999999999999	0.8399999999999999	0.0	0.91	2.65	0.21	0.0	1.5999999999999999	2.79	2.84	0.0	1.1500000000000001	0.27	1.0899999999999999	1.47	0.22999999999999998	0.0	1.58	0.0	0.63	3.13	0.0	0.0	0.0	1.12	1.9	0.11000000000000001	0.17	0.09	0.87	1.65	1.62	0.43	0.0	0.28	0.34	0.0	0.08	0.56	1.9000000000000001	0.0	0.9	0.07	0.5700000000000001	0.0	0.05	0.24	0.53	0.0	0.07	2.03	1.7300000000000002	0.0	0.29	0.79	0.1	0.52	0.0	0.0	0.08	0.0	0.0	0.0	0.22	1.07	0.1	0.09	1.42	0.9400000000000001	2.34	0.0	5.069999999999999	0.0	2.9	0.0	0.0	0.0	0.18	0.0	0.99	0.0	0.0	0.51	0.0	0.11	0.0	0.24	0.5700000000000001	0.9299999999999999	0.0	0.33	0.23	0.0
1.1.1.1,1.1.1.202	61584	5.84	1.28	7.7299999999999995	26.59	9.87	2.05	0.8	112.69999999999999	0.71	3.8699999999999997	1.61	4.17	1.74	4.1899999999999995	9.89	1.5999999999999999	6.68	7.3999999999999995	3.54	3.71	6.7299999999999995	2.13	3.72	0.8300000000000001	4.5	2.4	0.93	0.56	6.37	0.91	0.36	2.88	5.86	0.32	0.42000000000000004	8.5	0.36	1.09	2.0500000000000003	1.1	2.2800000000000002	0.21	110.48000000000002	0.75	9.48	0.72	3.16	6.550000000000001	6.88	0.0	0.87	1.52	2.77	0.39	4.88	1.46	4.75	2.85	1.34	0.61	4.16	22.64	1.92	0.71	5.869999999999999	3.5	8.17	1.52	3.02	3.56	1.8900000000000001	3.77	1.62	4.25	4.44	0.1	40.91000000000001	3.8200000000000003	7.789999999999999	4.77	2.78	10.14	0.1	1.36	2.5100000000000002	0.6699999999999999	0.66	4.88	1.21	1.59	45.209999999999994	6.37	1.6300000000000001	18.75
1.1.1.1,1.1.1.202,1.1.1.77	2292	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	3.02	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.0	0.0	2.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.06	0.0	0.0	0.0	2.04	0.0	0.0	0.27	0.0	0.0	0.29	0.0	0.0	0.0
1.1.1.1,1.1.1.258	245685	69.91	46.44	31.52	35.45	24.89	68.1	36.06	19.9	55.620000000000005	89.03	58.68	10.27	36.51	71.32000000000001	23.84	58.260000000000005	71.74000000000001	37.53	40.1	9.28	35.6	49.29	43.1	14.22	18.01	52.42	55.11	67.44	30.61	10.98	123.45	36.78	66.38	128.43	13.15	62.43	93.23	19.15	79.92	118.36	60.760000000000005	5.24	47.71	47.75	28.689999999999998	14.73	20.02	30.73	33.57	58.32	28.36	53.36	60.96	24.060000000000002	119.12	34.26	30.549999999999997	73.04	3.35	20.72	36.31	48.89	18.52	9.66	52.69	28.32	39.35	24.95	42.19	33.71	69.95	17.82	49.35	29.47	63.68	48.12	6.89	51.3	20.54	50.36	32.46	25.79	10.17	34.74	13.77	16.41	17.73	46.089999999999996	54.02	91.83	17.11	49.14	28.61	16.3
1.1.1.1,1.1.1.264,1.1.1.303,1.1.1.4	3099	0.0	0.0	0.0	0.37	0.0	0.0	0.0	1.65	0.0	0.0	0.0	0.0	0.06	0.0	1.09	0.0	0.0	0.39	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.02	0.03	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.08	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0
