loc_batch,"4-Chloro-N,N-dimethylbenzamide",Acesulfame,Amisulpride,Atrazine,Bentazon,Bromoxynil,Carbendazim,Carbetamide,Chlorotoluron,Clofibric acid,Clomazone,Clomethiazole,Cyclophosphamide,Diazepam,Diuron,Emtricitabine,Febuxostat,Fexofenadine,Ifosfamide,Isoproturon,Lamotrigine,Mesotrione,Metoxuron,Moclobemide,Olmesartan,Pirfenidone,Primidone,Simeton,Tebutam,Terbuthylazine,Torsemide,Vildagliptin,Carbamazepine,Crotamiton,Dimefuron,Oseltamivir,Sotalol,Acetamiprid,Pantoprazole,Dimethenamid,Monuron,DEET,Clopidogrel carboxylic acid,Naproxen,Iprovalicarb,Perindopril,Napropamide,Metolachlor,Lamivudine,Diclofenac,Mecoprop,Rosuvastatin,Flufenacet,Terbutryn,Tramadol,Prometryn,Rivaroxaban,Mefenamic acid,Ketoprofen,Valsartan,Saccharin,Sitagliptin,Losartan,Pseudoephedrine,Venlafaxine,Ganciclovir,Codeine,Cyclamate,Pravastatin,Darunavir,Albuterol,Ketamine,Etodolac,Apalutamide,Picoxystrobin,Metoclopramide,Sacubitril,Furosemide,Capecitabine,Fenhexamid,Icaridin,Bezafibrate,Sulfamethazine,Trinexapac-ethyl,Gliclazide,Sulfamethoxazole,Pargyline,Levetiracetam,Sulfadiazine,Rivastigmine,Ranitidine,Levamisole,Abacavir,Alachlor,Quetiapine,Benzophenone,Mexiletine,Rufinamide,Doxylamine,Sulfapyridine,Trazodone,Mirtazapine,Sulfathiazole,Metoprolol,Fludioxonil,Deprenyl,Naloxegol,Lisinopril,Mycophenolic acid,Naloxone,Atenolol,Caffeine,Propachlor,Mirabegron,Paracetamol,Morphine,Pioglitazone,Fenoxycarb,Vorinostat,Tenofovir,Cilastatin,Normorphine
air_dw3_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.006,0.007,0.007,0.006,0.006,0.005,0.012,0.007,0.01,0.005,0.005,0.009,0.013,0.007,0.009,0.007,0.005,0.007,0.014,0.008,0.009,0.008,0.007,,0.007,0.015,0.005,0.005,0.011,0.016,,0.013,0.019,0.016,0.016,0.008,0.006,0.011,0.025,0.018,0.016,0.088,,,0.018,0.032,0.077,0.044,0.819,0.049,0.024
oli_up1_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.007,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.007,0.005,,0.005,0.005,0.005,0.005,0.005,0.01,0.007,0.006,0.005,0.005,0.005,0.011,0.005,0.005,0.011,0.005,0.026,0.021,0.006,0.03,,0.005,0.038,0.007,0.007,0.016,0.018,0.017,0.015,0.005,0.016,0.005,0.006,0.038,0.017,0.03,0.038,0.005,0.02,0.017,0.005,0.041,0.009,0.005,0.007,0.186,0.041,0.023,0.009,0.005,0.03,0.03,0.03,,0.118,0.005
oli_up1_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.006,0.005,0.005,0.006,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.008,0.005,0.007,0.005,0.005,0.006,0.005,0.005,0.005,0.007,0.006,0.006,0.008,,0.007,0.005,0.005,0.006,0.007,0.009,0.011,0.013,0.008,0.009,0.005,0.009,0.007,0.011,0.008,0.005,0.015,0.011,0.007,0.015,,0.006,0.018,0.022,0.011,0.019,0.011,0.022,0.017,0.015,0.02,0.02,0.027,0.023,0.018,0.027,0.019,0.015,0.022,0.021,0.012,0.03,0.031,0.02,0.018,0.092,0.085,0.039,0.016,0.015,0.099,0.125,0.126,,,
oli_up2_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.006,0.005,0.005,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.007,0.005,0.005,0.007,0.005,0.005,0.005,0.006,0.006,0.005,0.01,,0.007,0.005,0.005,0.005,0.007,0.008,0.014,0.008,0.007,0.008,0.005,0.011,0.008,0.017,0.007,0.005,0.018,0.015,0.006,0.018,,0.005,0.021,0.033,0.009,0.024,0.011,0.018,0.011,0.018,0.017,0.011,0.037,0.024,0.014,0.019,0.025,0.025,0.025,0.021,0.011,0.008,0.042,0.026,0.022,0.048,0.108,0.029,0.024,0.021,0.116,0.091,0.091,,0.062,
oli_up2_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.007,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.011,,0.006,0.005,0.005,0.006,0.006,0.007,0.01,0.01,0.007,0.01,0.005,0.011,0.008,0.014,0.007,0.005,0.012,0.011,0.006,0.012,,0.005,0.012,0.046,0.011,0.027,0.011,0.019,0.014,0.018,0.018,0.007,0.044,0.018,0.016,0.019,0.016,0.032,0.031,0.029,0.013,0.008,0.034,0.027,0.028,0.036,0.104,0.043,0.025,0.025,0.112,0.079,0.092,,0.062,
oli_dw1_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.02,0.005,0.007,0.008,0.005,,0.005,0.013,0.005,0.005,0.005,0.01,0.009,0.007,0.005,0.005,0.005,0.012,0.005,0.008,0.005,0.005,0.024,0.015,0.005,0.026,,0.018,0.034,0.012,0.008,0.018,0.009,0.02,0.013,0.008,0.018,0.005,0.015,0.041,0.017,0.026,0.035,0.012,0.03,0.033,0.007,0.005,0.026,0.014,0.015,0.051,0.059,0.033,0.214,0.013,0.041,0.057,0.051,,0.066,0.005
oli_dw1_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.007,0.005,0.007,0.005,0.005,0.009,0.005,0.005,0.009,0.007,0.006,0.007,0.01,,0.007,0.008,0.005,0.006,0.015,0.009,0.028,0.024,0.006,0.009,0.005,0.011,0.007,0.027,0.01,0.005,0.019,0.015,0.006,0.02,,0.008,0.032,0.029,0.012,0.025,0.015,0.031,0.016,0.017,0.022,0.012,0.04,0.035,0.019,0.025,0.027,0.028,0.026,0.031,0.025,0.022,0.066,0.059,0.029,0.07,0.103,0.041,0.125,0.042,0.095,0.097,0.117,,0.147,
air_up1_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.007,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.007,0.005,0.005,0.005,0.005,0.005,0.005,0.009,0.005,0.006,0.005,0.005,0.005,0.01,0.005,0.022,0.011,0.009,0.008,0.005,0.006,0.008,0.028,0.005,0.005,0.007,0.009,0.005,0.007,0.007,0.005,0.007,0.028,0.014,0.017,0.011,0.009,,0.014,0.02,0.005,0.036,0.011,0.016,,0.014,0.042,0.013,0.012,0.018,0.008,0.169,0.043,0.028,0.017,0.062,,,0.03,0.09,0.065,0.066,,0.077,0.039
oli_dw2_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.009,0.005,0.005,,0.005,0.005,0.005,0.006,0.005,0.01,0.006,0.005,0.005,0.005,0.005,0.017,0.005,0.006,0.005,0.005,0.014,0.012,0.006,0.019,,0.005,0.022,0.005,0.008,0.015,0.009,0.013,0.015,0.007,0.011,0.005,0.005,0.03,0.019,0.024,0.031,0.005,0.036,0.024,0.005,0.017,0.01,0.005,0.008,0.027,0.033,0.028,0.05,0.007,0.014,0.022,0.021,,0.062,0.005
oli_dw2_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.008,0.005,0.005,,0.005,0.005,0.005,0.005,0.005,0.009,0.005,0.005,0.005,0.005,0.005,0.015,0.005,0.005,0.005,0.005,0.016,0.01,0.005,0.022,,0.005,0.026,0.005,0.008,0.015,0.01,0.006,0.013,0.005,0.012,0.005,0.005,0.033,0.017,0.023,0.027,0.005,0.033,0.02,0.005,0.033,0.009,0.006,0.009,0.092,0.031,0.027,0.04,0.007,0.011,0.041,0.021,,0.08,0.005
