compound,EC,ro,p_value,adjusted_p_value
Abacavir,"3.5.2.2,3.5.2.5",0.37853655696406163,0.002861035915584492,0.008149988987549314
Abacavir,"2.3.1.16,2.3.1.174",0.450937465277732,0.0002993755849422694,0.0010806387839484076
Abacavir,1.8.99.5,0.30555912518313205,0.0175894609682906,0.039622387571871046
Abacavir,"2.9.1.1,3.1.3.15,4.1.1.81,4.2.1.19",0.32572875649626964,0.011095256889561705,0.02672010953591779
Abacavir,"1.3.1.21,1.3.1.71",0.33933019127477443,0.007993417479372836,0.020107785424605475
Abacavir,"2.3.3.13,4.1.3.39",0.4397616482561107,0.0004386249153565192,0.0015225052533369436
Abacavir,"1.14.13.127,1.14.13.2",0.34235968773149555,0.007416027893063364,0.01883062750546833
Abacavir,"1.1.1.18,1.1.1.369,1.3.1.64",0.4125764888621725,0.0010535522635300556,0.0033470251866229784
Abacavir,2.1.1.204,0.40992507785632964,0.001143153083203962,0.003601310712504824
Abacavir,1.1.1.335,0.3485780015257732,0.006343898965672667,0.016427799543590905
Abacavir,"1.14.13.25,1.18.1.7",0.3566373266203034,0.005157898393821653,0.01371618213557405
Abacavir,"3.1.1.11,3.2.1.55",0.4559600188104444,0.0002510717566465606,0.000920756433859961
Abacavir,"1.12.5.1,1.12.99.6",0.3960957171179104,0.0017313816662985545,0.005223941554092919
Abacavir,1.1.2.8,0.48471543581773807,8.685919345984826e-05,0.0003506833847312268
Abacavir,3.1.6.14,0.43196776642332685,0.0005681434686418055,0.0019227542005991053
Abacavir,3.4.21.116,0.31620557702405944,0.013843246924239402,0.032323631193552256
Abacavir,"5.4.4.3,6.3.1.2",0.5620250351339153,2.972201625846602e-06,1.5879286780631816e-05
Abacavir,3.4.24.37,0.43976135761689633,0.00043862919802592026,0.0015225081095150445
Abacavir,"1.14.19.1,1.14.19.42",0.33068538200186537,0.00986170807854168,0.024136442489875197
Abacavir,1.2.1.28,0.43726225606877517,0.0004768916366590055,0.001642506063994161
Abacavir,"1.14.12.1,1.14.12.15",0.44856090109912033,0.0003250631370022764,0.0011632444534922846
Abacavir,"2.7.7.73,2.7.7.80",0.3505987283199744,0.006026043211948814,0.015719867328181418
Abacavir,4.2.1.53,0.32854044483248135,0.010380090381398073,0.02522670951949935
Abacavir,2.6.1.98,0.35167200897772594,0.0058629682496921355,0.01535216017369224
Abacavir,1.1.1.290,0.30741957261844033,0.016878460891186376,0.03823410769481489
Abacavir,3.6.3.24,0.4180489622079048,0.0008883289496956403,0.0028711703008377854
Abacavir,4.4.1.21,0.3005341744847027,0.019638841140244945,0.04311977028035519
Abacavir,"3.1.3.16,5.2.1.8",0.33508493979602094,0.008868292549993353,0.022020062574310627
Abacavir,"1.2.1.10,1.2.1.87",0.3374409074946115,0.008373010324730168,0.02094390076190449
Abacavir,1.2.7.12,0.29499541603600604,0.022129648379246466,0.048141902333776236
Abacavir,"1.4.99.5,1.5.3.1",0.30580391053386663,0.017494475879276866,0.03943729074263636
Abacavir,"1.14.18.3,1.14.99.39",0.46563169235500923,0.00017753401830031208,0.000671080907170196
Abacavir,2.4.1.255,0.3074838963002458,0.01685432446145277,0.03818611578433664
Abacavir,"1.18.1.1,1.7.1.15",0.30076692277189193,0.019539619768967818,0.04291626282255678
Abacavir,6.3.2.39,0.4833273373975963,9.162629203340764e-05,0.00036814320436131956
Abacavir,"1.1.1.1,1.2.1.10",0.4724657023965333,0.0001381005040939159,0.000534618416233794
Abacavir,"3.1.1.45,3.1.1.76",0.2999220571860052,0.01990183634964916,0.043656044249859235
Abacavir,"3.6.1.55,3.6.1.67",0.34269785458373564,0.007353894658910148,0.018693308303288237
Abacavir,"4.1.1.35,4.2.1.46,5.1.3.2,5.1.3.7",0.4438020494011273,0.00038262937341481724,0.0013473440528821636
Abacavir,"4.2.1.113,5.5.1.1,5.5.1.7",0.6100313633935178,2.2886579872186015e-07,1.5149642773018466e-06
Abacavir,"1.3.1.21,1.3.1.70",0.34988744387623016,0.006136296039055592,0.01596441879553383
Abacavir,2.7.1.46,0.3655892613239977,0.004073299747469143,0.011125764056065955
Abacavir,"4.2.1.42,4.4.1.24",0.35573071054975003,0.005280773142667592,0.014002828160354341
Abacavir,"1.3.2.3,3.5.3.4",0.30227436889963566,0.01890725898813008,0.04172039506369514
Abacavir,"2.3.1.189,2.3.1.59,2.3.1.82",0.3125461461280406,0.015045037313512687,0.034702586459731594
Abacavir,1.14.13.236,0.39523302275491684,0.0017757736526657665,0.0053422409772700815
Abacavir,"1.14.12.11,1.14.12.12,1.14.12.18,1.14.12.23,1.14.12.24,1.14.12.3",0.3395515280682862,0.007949944127506384,0.020012039659558358
Abacavir,"2.7.8.42,2.7.8.43",0.3976820487726335,0.0016523390744637063,0.00501164913456126
Abacavir,4.1.1.38,0.4550277528848707,0.0002594606503908808,0.0009485635471812164
Abacavir,"2.1.1.163,2.1.1.201,2.1.1.77,2.4.2.7",0.3111375198974719,0.015530931309275929,0.0356419375257342
Abacavir,"4.2.1.156,4.2.1.42,5.1.2.2",0.3982568296877262,0.0016245072161679872,0.0049352495581883845
Abacavir,"1.8.98.5,1.8.98.6",0.31722094469462203,0.013524791243299368,0.03171737466175064
Abacavir,1.14.13.208,0.3019607382450707,0.019037368874242115,0.04199822693202926
Abacavir,1.14.13.227,0.31930938915893003,0.012889545949109632,0.03043492580855882
Abacavir,2.7.11.22,0.3427362863121495,0.007346862247031517,0.01867769790724866
Abacavir,4.1.1.87,0.31886889037140836,0.013021350799581447,0.030700020920443907
Abacavir,2.7.7.47,0.3238819483801959,0.011587857027033572,0.02774440456037559
Abacavir,"5.1.3.25,5.1.3.6",0.31191360611070984,0.015261589587651886,0.03512640914889438
Abacavir,"2.5.1.30,2.5.1.90",0.36309570671871033,0.004353042185400841,0.011799836304611842
Abacavir,"2.4.1.122,2.4.1.303",0.35469690670919,0.005424020973243671,0.014337919442066959
Abacavir,"2.5.1.47,6.1.1.16",0.3843160170959772,0.002432358241438569,0.007064442290057143
Acesulfame,"3.2.1.23,3.4.24.40",0.5358694127948715,1.0225455190960982e-05,4.901637736629387e-05
Acesulfame,"3.5.1.104,3.5.1.41,3.5.2.5",0.7031214556076624,3.759338053301916e-10,6.651301655306052e-09
Acesulfame,"3.1.3.82,3.1.3.83,5.3.1.28",0.3436809465971433,0.007175841084447399,0.018299263873711568
Acesulfame,2.1.1.213,0.40320409859802375,0.0014017801334513188,0.004324555736750209
Acesulfame,1.3.8.9,0.3477565709463225,0.006477249979827157,0.016724990392332415
Acesulfame,"2.8.1.15,6.3.4.19",0.3162209701601842,0.013838371376570464,0.032313618589922946
Acesulfame,"2.7.13.3,3.1.1.61,3.5.1.44",0.3220754986745568,0.012087859960499431,0.028781503471312794
Acesulfame,"2.4.1.266,2.4.1.268,2.7.1.39,3.1.3.10,3.1.3.3,3.1.3.5",0.42582049254833504,0.0006937625877562921,0.0023000015202545455
Acesulfame,"5.1.3.8,5.3.1.8",0.5779070587217803,1.331264297402844e-06,7.584321730785209e-06
Acesulfame,"3.5.3.4,4.3.2.3",0.3472174134719871,0.006566105643921956,0.016924231529558194
Acesulfame,1.5.1.47,0.31322489686022587,0.014815601153752241,0.03422971076565769
Acesulfame,"2.1.1.80,2.7.11.1,2.7.13.3,3.1.1.61",0.40271772453457616,0.0014223915925199474,0.004381600164187023
Acesulfame,"2.7.6.3,3.5.4.16",0.5028708269001948,4.226095184553332e-05,0.0001817187893632433
Acesulfame,4.1.1.29,0.7182914392779842,1.0411429556482307e-10,2.0912868459230716e-09
Acesulfame,"3.2.1.1,3.2.1.10,5.4.99.16",0.6415044208629511,3.337262836849793e-08,2.6813018940809894e-07
Acesulfame,"3.4.15.5,3.4.24.70",0.6489374335466863,2.05008214699977e-08,1.7501781886389572e-07
Acesulfame,5.3.3.19,0.517087653261343,2.3348955085381615e-05,0.0001055861669798434
Acesulfame,"1.1.2.3,1.1.3.15,1.1.3.46",0.576964385248585,1.3979178462535347e-06,7.933649822219466e-06
Acesulfame,2.4.1.20,0.5722221971901785,1.783279428099044e-06,9.924614208330552e-06
Acesulfame,4.1.1.22,0.7014123513554731,4.322697127795731e-10,7.566207238673969e-09
Acesulfame,"1.97.1.4,4.3.99.3",0.34816093905207407,0.006411301147612754,0.016579120748953024
Acesulfame,2.7.1.83,0.5678240949979528,2.227505994823856e-06,1.217743863651428e-05
Acesulfame,1.14.13.70,0.3890553522857007,0.0021245794834074258,0.006264414562678797
Acesulfame,1.14.11.55,0.6580359196830018,1.1085068148332487e-08,1.4771162121324808e-07
Acesulfame,2.6.1.77,0.6159467922620101,1.6195655597629642e-07,1.1029547995665713e-06
Acesulfame,1.2.1.8,0.6863191382604659,1.4237805928248242e-09,2.2432522198171686e-08
Acesulfame,2.1.1.195,0.6888553384970595,1.1711931342727254e-09,1.877757946257332e-08
Acesulfame,4.1.99.17,0.5522715652235975,4.769684283210605e-06,2.45355556959292e-05
Acesulfame,"1.1.1.83,1.1.1.93,4.1.1.73",0.6052529670771454,3.0107531860577234e-07,1.946141165336005e-06
Acesulfame,"1.1.1.31,1.1.1.411",0.6609446694755214,9.06660088703299e-09,1.2273645635532088e-07
Acesulfame,"3.1.2.4,4.2.1.17",0.570823543929553,1.9146567080727963e-06,1.0595876894428441e-05
Acesulfame,5.4.99.21,0.6477622420127387,2.2162201204202364e-08,1.876720411175397e-07
Acesulfame,2.7.7.72,0.6453432612655482,2.599050719482384e-08,2.1493698137846747e-07
Acesulfame,5.4.99.24,0.590980844572457,6.653189415999574e-07,4.0220259537182e-06
Acesulfame,1.7.7.1,0.6402742162380357,3.612982671856907e-08,2.8882727063805824e-07
Acesulfame,1.14.14.47,0.3860896062345298,0.0023128127165450148,0.00675773693896366
Acesulfame,2.7.7.59,0.6170646721635582,1.515895237777603e-07,1.0380078782618616e-06
Acesulfame,3.4.21.83,0.714376292640303,1.4616482890327033e-10,2.7822656639069004e-09
Acesulfame,2.4.2.28,0.7245666057141752,5.972410685723119e-11,1.2236059462243126e-09
Acesulfame,"2.1.1.176,2.1.1.178",0.30772330826883865,0.016764748026581816,0.03801213122469824
Acesulfame,"6.3.2.12,6.3.2.17",0.7658444932278836,1.015069451373105e-12,4.171510761622528e-11
Acesulfame,1.5.5.1,0.61062386110475,2.211447746589643e-07,1.4672764409229824e-06
Acesulfame,1.21.98.1,0.6726387199280016,3.950539305187959e-09,5.702081551447068e-08
Acesulfame,2.7.7.41,0.6953064950176491,7.062883098612325e-10,1.1907781154272817e-08
Acesulfame,6.1.1.9,0.7098881256581471,2.1417256432048586e-10,3.955823446778052e-09
Acesulfame,5.4.99.2,0.7471237030041266,7.097832232035695e-12,1.9426728853316555e-10
Acesulfame,"4.1.2.14,4.1.3.42",0.587358835635246,8.087388602910176e-07,4.814317200688601e-06
Acesulfame,2.5.1.75,0.7049238620792563,3.2411087583485654e-10,5.793106716272622e-09
Acesulfame,"1.1.1.108,1.1.1.157",0.7023294254789048,4.0111377089888886e-10,7.062163692851871e-09
Acesulfame,3.2.2.4,0.5997531709466709,4.1054008294258806e-07,2.5855822884591486e-06
Acesulfame,3.1.30.1,0.7051685837841318,3.1762177784591224e-10,5.685666266452632e-09
Acesulfame,"2.7.7.60,4.6.1.12",0.6504254487301488,1.856569505746197e-08,1.619952882599958e-07
Acesulfame,2.7.2.2,0.6921651569388683,9.049962570228682e-10,1.4957642174194975e-08
Acesulfame,2.5.1.90,0.6254785814430708,9.136669061571853e-08,6.532083063460067e-07
Acesulfame,1.2.1.41,0.6663961067597268,6.183690888807617e-09,8.631198370867341e-08
Acesulfame,3.6.4.12,0.7394880964279414,1.4956648060823417e-11,3.6953190757158993e-10
Acesulfame,"3.5.1.1,3.5.1.38",0.35035524953807873,0.006063586491656084,0.015800642874448826
Acesulfame,2.7.2.8,0.5788489229625511,1.2676483596150524e-06,7.2426186526017875e-06
Acesulfame,"2.3.1.28,2.3.1.79",0.6801724852082842,2.2672994623034667e-09,3.4286398542422325e-08
Acesulfame,1.14.13.59,0.46781047340872756,0.0001639653667355099,0.0006242040218129824
Acesulfame,2.3.1.264,0.46803438652272,0.00016262615802339143,0.0006196525386638395
Acesulfame,"3.3.2.1,3.3.2.15,6.3.2.14",0.6796445011658154,2.3585216741065105e-09,3.556687216946871e-08
Acesulfame,"3.4.21.107,3.4.21.116",0.5063904850364864,3.657727443776565e-05,0.00015915651592889092
Acesulfame,"4.1.1.77,4.2.1.80",0.4574268683700074,0.00023837270358156948,0.0008781213308823666
Acesulfame,1.4.1.23,0.4441811134434803,0.00037772497429733255,0.0013317473807971797
Acesulfame,"2.3.1.184,2.3.1.228,2.3.1.229",0.6194610082986581,1.3143311351041848e-07,9.112886388843779e-07
Acesulfame,3.5.5.8,0.5048512073281117,3.8969914125116056e-05,0.0001686388614597076
Acesulfame,1.14.14.30,0.5057896390680239,3.749458798222171e-05,0.00016281330385505856
Acesulfame,"1.1.1.41,1.1.1.85",0.64173869304042,3.287060460226126e-08,2.64169059786023e-07
Acesulfame,"4.2.1.82,4.2.1.9",0.6758812407597593,3.116941068099943e-09,4.5990557429642314e-08
Acesulfame,"1.1.1.335,1.1.99.28",0.343589902481089,0.007192170789894793,0.018334319241683446
Acesulfame,1.14.13.151,0.6078741541893864,2.59172313953321e-07,1.6965891650835983e-06
Acesulfame,"2.4.1.109,3.2.1.99",0.5140594515686918,2.655329022863552e-05,0.00011876327985396566
