,EC,p_value,adjusted_p_value,mean_1,std_1,median_1,mean_0,std_0,median_0,delta_mean,delta_median
16,"1.1.1.1,1.1.1.287,1.6.5.5",5.466499907331486e-05,0.0061507396929399135,0.15071428571428575,0.16972516800127557,0.10500000000000001,0.029130434782608693,0.08989912431155757,0.0,0.12158385093167705,0.10500000000000001
21,"1.1.1.1,1.1.1.77",0.00019139960071946785,0.013994726661660494,0.19571428571428573,0.15746719775034715,0.195,0.04173913043478261,0.06696216802844682,0.0,0.15397515527950312,0.195
22,"1.1.1.1,1.1.1.77,1.1.99.37,1.2.98.1",0.00037299096679584246,0.017303202726316854,0.04071428571428572,0.0700473600720343,0.0,0.003913043478260869,0.02624949364891057,0.0,0.03680124223602485,0.0
73,"1.1.1.100,1.1.1.385,1.3.1.28",0.002331139433931266,0.045893959881859216,0.05142857142857143,0.09855072246289819,0.0,0.005434782608695652,0.036457630067931346,0.0,0.04599378881987577,0.0
90,"1.1.1.100,2.1.1.72,2.3.1.1,2.5.1.7,2.7.7.9,3.1.21.4,3.4.21.88,3.5.1.1",0.0003344766274463249,0.01707275925561522,0.18500000000000003,0.2316324058256345,0.015,0.01782608695652174,0.07144207271806514,0.0,0.16717391304347828,0.015
110,"1.1.1.108,1.1.1.157",0.0015127023179628551,0.038474815521247416,36.64214285714286,14.574180780001436,33.705,23.846739130434784,9.248762562199715,22.67,12.795403726708074,11.034999999999997
128,"1.1.1.127,1.3.1.28",0.000262530364997892,0.015250795639912756,0.18642857142857142,0.2576710844373153,0.095,0.0332608695652174,0.11350262107347217,0.0,0.15316770186335402,0.095
162,"1.1.1.14,1.1.1.407",0.000423031958273082,0.018199764408986473,0.023571428571428573,0.03351058315925686,0.0,0.0019565217391304345,0.013124746824455285,0.0,0.02161490683229814,0.0
200,"1.1.1.169,3.1.3.25,3.6.1.55,4.99.1.3",3.0442272117053202e-05,0.004484255405242355,0.10642857142857143,0.10526206363555833,0.10500000000000001,0.014782608695652172,0.0613166808439306,0.0,0.09164596273291925,0.10500000000000001
201,"1.1.1.169,3.2.1.4,3.4.17.14",0.00042332065943108827,0.018199764408986473,0.05285714285714286,0.09512612465477996,0.0,0.010217391304347826,0.06854034452771092,0.0,0.042639751552795035,0.0
255,"1.1.1.206,2.1.1.43",0.0015252675668883085,0.038474815521247416,0.04499999999999999,0.10217282277732037,0.0,0.0,0.0,0.0,0.04499999999999999,0.0
267,"1.1.1.215,1.1.1.26,1.1.1.43,1.1.1.79,1.1.1.81",0.00021715662658413666,0.013994726661660494,0.042857142857142864,0.07410692771053107,0.0,0.0,0.0,0.0,0.042857142857142864,0.0
270,"1.1.1.215,1.1.1.29,1.1.1.399,1.1.1.79,1.1.1.81,1.1.1.95",0.0008729126705047899,0.029632331765407458,2.9528571428571424,1.841429679707081,2.835,1.1419565217391303,1.3658117821268774,0.545,1.810900621118012,2.29
271,"1.1.1.215,1.1.1.399,1.1.1.79,1.1.1.81,1.1.1.95",0.00021715662658413666,0.013994726661660494,0.03571428571428571,0.07306692487168243,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
