,EC,p_value,adjusted_p_value,mean_1,std_1,median_1,mean_0,std_0,median_0,delta_mean,delta_median
21,"1.1.1.1,1.1.1.77",0.0003865094146665607,0.021114676566784497,0.21909090909090911,0.1630646578649957,0.22,0.04591836734693878,0.07085248738585694,0.0,0.17317254174397034,0.22
22,"1.1.1.1,1.1.1.77,1.1.99.37,1.2.98.1",0.0015028633655239845,0.04842624961799745,0.046363636363636364,0.07666606779021097,0.0,0.004897959183673469,0.026659029865808866,0.0,0.0414656771799629,0.0
110,"1.1.1.108,1.1.1.157",0.00013295758899233972,0.013375209165826955,40.798181818181824,13.72566263886859,36.339999999999996,23.697142857142858,8.996978404340163,22.48,17.101038961038967,13.859999999999996
162,"1.1.1.14,1.1.1.407",0.0015011791429490567,0.04842624961799745,0.02727272727272728,0.03620419591225432,0.0,0.0024489795918367346,0.013329514932904433,0.0,0.024823747680890546,0.0
200,"1.1.1.169,3.1.3.25,3.6.1.55,4.99.1.3",2.309402199329682e-05,0.0048846817287873205,0.12454545454545456,0.10815507690883969,0.11,0.0163265306122449,0.06133527391916383,0.0,0.10821892393320966,0.11
267,"1.1.1.215,1.1.1.26,1.1.1.43,1.1.1.79,1.1.1.81",1.651541856364981e-05,0.003892448220901351,0.05454545454545456,0.07969985016110431,0.0,0.0,0.0,0.0,0.05454545454545456,0.0
291,"1.1.1.23,2.6.1.9",0.00041531548126225697,0.021961137211104858,0.23181818181818184,0.28824920347814514,0.12,0.021632653061224492,0.06456595864238558,0.0,0.21018552875695734,0.12
304,"1.1.1.25,2.3.1.128,4.2.1.10",6.441467875393455e-05,0.008161199284991998,1.291818181818182,1.5800622437786673,0.42000000000000004,0.13551020408163264,0.45484270088563356,0.0,1.1563079777365493,0.42000000000000004
402,"1.1.1.303,1.1.1.4,1.1.2.4,1.1.3.15",0.000484366683668083,0.024463900673587825,0.30454545454545456,0.2733749884271066,0.24,0.0673469387755102,0.10553605651777397,0.0,0.23719851576994436,0.24
421,"1.1.1.31,1.1.1.411,1.1.1.60",0.00021484447611117767,0.015424406237173782,0.6190909090909091,0.436253774048891,0.5,0.17122448979591837,0.23568945889221043,0.1,0.44786641929499077,0.4
458,"1.1.1.34,2.7.1.72,2.7.1.89",0.0014254603814904236,0.04703449074765802,0.7663636363636365,0.5761040424858994,0.68,0.26265306122448984,0.5334209025013201,0.02,0.5037105751391466,0.66
478,1.1.1.357,0.00026199368568345795,0.017102612918453497,6.273636363636364,5.003935310836994,4.1,1.5504081632653062,1.374000503792905,1.09,4.723228200371058,3.01
598,"1.1.1.77,1.1.99.37,1.2.98.1",0.0004908326948828805,0.024463900673587825,0.8609090909090908,0.5804144999356383,0.73,0.2110204081632653,0.3135071193278091,0.11,0.6498886827458256,0.62
